0,1
"('0-3', 1)",-0.39904092795422585
"('3-4', 1)",-0.03529071347706159
"('4-5', 1)",-0.020422162181419484
"('2-5', 1)",0.1994631978012799
"('5-6', 1)",-0.013283839257550733
"('6-7', 1)",0.017772055224692298
"('7-1', 1)",-0.4186799910433739
"('7-8', 1)",0.8195579754323232
"('8-3', 1)",-0.658946779698057
"('0-3', 2)",0.08010044636373184
"('3-4', 2)",-0.0003994450628913626
"('4-5', 2)",-0.04560084853775023
"('2-5', 2)",-0.10586315427402977
"('5-6', 2)",-0.015896906600284668
"('6-7', 2)",0.09786382663168793
"('7-1', 2)",-0.17562310489536948
"('7-8', 2)",-0.3042184219705621
"('8-3', 2)",-0.4767619833667828
"('0-3', 3)",0.09989476276549257
"('3-4', 3)",-0.03736077544439076
"('4-5', 3)",-0.03991204848572382
"('2-5', 3)",-0.1826774873062828
"('5-6', 3)",-0.023470193763716046
"('6-7', 3)",0.0961045585722163
"('7-1', 3)",-0.1314323414618716
"('7-8', 3)",-0.47699341938563483
"('8-3', 3)",-0.35179910173514367
"('0-3', 4)",0.11668452659146841
"('3-4', 4)",-0.059435672860543166
"('4-5', 4)",-0.03857226302646705
"('2-5', 4)",-0.22128754707642548
"('5-6', 4)",-0.028571757570345167
"('6-7', 4)",0.09226212591760148
"('7-1', 4)",-0.1300414787005939
"('7-8', 4)",-0.47595942814074094
"('8-3', 4)",-0.3967801243157773
"('0-3', 5)",0.12211494494188355
"('3-4', 5)",-0.06648934102767431
"('4-5', 5)",-0.03834068213988398
"('2-5', 5)",-0.23261836471094924
"('5-6', 5)",-0.030084420436532058
"('6-7', 5)",0.0908605764474044
"('7-1', 5)",-0.13020286736239406
"('7-8', 5)",-0.4735095038588071
"('8-3', 5)",-0.41053052988730154
"('0-3', 6)",0.12369432608715235
"('3-4', 6)",-0.06852982270162641
"('4-5', 6)",-0.03829059639062967
"('2-5', 6)",-0.23582028084013068
"('5-6', 6)",-0.030506411889906274
"('6-7', 6)",0.09044565552988498
"('7-1', 6)",-0.13028710057455434
"('7-8', 6)",-0.47267985771811727
"('8-3', 6)",-0.414393473706122
"('0-3', 7)",0.12418502865070954
"('3-4', 7)",-0.06916266436253946
"('4-5', 7)",-0.038276587235504284
"('2-5', 7)",-0.2368068472135134
"('5-6', 7)",-0.03063572984001823
"('6-7', 7)",0.09031620651293802
"('7-1', 7)",-0.13031642514524694
"('7-8', 7)",-0.472412496054002
"('8-3', 7)",-0.4155814659788294
"('0-3', 8)",0.12434414497423082
"('3-4', 8)",-0.06936775349856458
"('4-5', 8)",-0.0382722015904652
"('2-5', 8)",-0.23712592390820528
"('5-6', 8)",-0.030677476308110345
"('6-7', 8)",0.09027417998934303
"('7-1', 8)",-0.13032624829404169
"('7-8', 8)",-0.4723248529598887
"('8-3', 8)",-0.41596546466716217
"('0-3', 9)",0.1244059422902366
"('3-4', 9)",-0.06944738996333226
"('4-5', 9)",-0.038270519024988736
"('2-5', 9)",-0.23724973720410483
"('5-6', 9)",-0.030693664872147763
"('6-7', 9)",0.09025785110114054
"('7-1', 9)",-0.13033010471025916
"('7-8', 9)",-0.47229069022946696
"('8-3', 9)",-0.4161144408950854
"('0-3', 10)",0.12443413733347437
"('3-4', 10)",-0.06948389144032954
"('4-5', 10)",-0.038269557295195676
"('2-5', 10)",-0.23730641482668235
"('5-6', 10)",-0.030701356111765093
"('6-7', 10)",0.09025041390355934
"('7-1', 10)",-0.1303316319975059
"('7-8', 10)",-0.47227481200839033
"('8-3', 10)",-0.41618266968108375
"('0-3', 11)",0.12444801395618117
"('3-4', 11)",-0.06950166027019306
"('4-5', 11)",-0.038269312301698985
"('2-5', 11)",-0.23733407194349562
"('5-6', 11)",-0.030704849314217512
"('6-7', 11)",0.09024673510170503
"('7-1', 11)",-0.13033266317219208
"('7-8', 11)",-0.4722673093850393
"('8-3', 11)",-0.4162159118311677
"('0-3', 12)",0.12445502542229007
"('3-4', 12)",-0.06951063579554302
"('4-5', 12)",-0.03826919084742859
"('2-5', 12)",-0.2373480337709755
"('5-6', 12)",-0.030706512907934205
"('6-7', 12)",0.09024487924005367
"('7-1', 12)",-0.13033318403836228
"('7-8', 12)",-0.47226350694189695
"('8-3', 12)",-0.4162327029567719
"('0-3', 13)",0.1244586924492594
"('3-4', 13)",-0.06951536071134704
"('4-5', 13)",-0.03826909190814414
"('2-5', 13)",-0.23735537603564172
"('5-6', 13)",-0.030707472439309217
"('6-7', 13)",0.0902439100280747
"('7-1', 13)",-0.13033341467751997
"('7-8', 13)",-0.47226147429307486
"('8-3', 13)",-0.4162415361323609
"('0-3', 14)",0.1244604121052075
"('3-4', 14)",-0.06951757841792924
"('4-5', 14)",-0.03826904511468245
"('2-5', 14)",-0.237358822756612
"('5-6', 14)",-0.030707924143171347
"('6-7', 14)",0.09024345613265888
"('7-1', 14)",-0.13033352314005348
"('7-8', 14)",-0.4722605201579337
"('8-3', 14)",-0.4162456813283673
"('0-3', 15)",0.12446122000684008
"('3-4', 15)",-0.06951861738744627
"('4-5', 15)",-0.038269023730451074
"('2-5', 15)",-0.23736043661077305
"('5-6', 15)",-0.030708133839336377
"('6-7', 15)",0.09024324187483852
"('7-1', 15)",-0.1303335736862571
"('7-8', 15)",-0.4722600731711185
"('8-3', 15)",-0.4162476242903942
"('0-3', 16)",0.12446158946878504
"('3-4', 16)",-0.06951909344727342
"('4-5', 16)",-0.03826901377537768
"('2-5', 16)",-0.23736117637854057
"('5-6', 16)",-0.030708230445439612
"('6-7', 16)",0.09024314430952539
